年,週次,臺中市PM2.5_週平均
2016,47,16.83520599
2016,48,20.43221477
2016,49,25.13001215
2016,50,26.69375
2016,51,37.03163017
2016,52,20.52374101
2017,1,37.74033816
2017,2,20.72173913
2017,3,17.10837438
2017,4,22.30943396
2017,5,17.61302682
2017,6,26.98993711
2017,7,34.21765417
2017,8,19.28462516
2017,9,29.70352369
2017,10,28.54822955
2017,11,25.06818182
2017,12,21.75682705
2017,13,35.75734355
2017,14,30.4842233
2017,15,24.55930087
2017,16,21.58459596
2017,17,25.9717362
2017,18,26.86739659
2017,19,20.44759556
2017,20,16.34246575
2017,21,19.26583851
2017,22,12.82453826
2017,23,15.78054863
2017,24,7.960960961
2017,25,10.49744898
2017,26,12.52926209
2017,27,10.42146597
2017,28,12.2025
2017,29,17.54388133
2017,30,19.92065491
2017,31,13.24320828
2017,32,12.3378213
2017,33,14.18457649
2017,34,20.14534161
2017,35,21.95371498
2017,36,16.94417476
2017,37,18.33703704
2017,38,31.3898917
2017,39,19.84793187
2017,40,25.37086903
2017,41,22.10759494
2017,42,13.10453401
2017,43,19.55893074
2017,44,13.55714286
2017,45,19.35337423
2017,46,19.06717364
2017,47,9.511688312
2017,48,18.12765957
2017,49,18.16423358
2017,50,15.64015152
2017,51,25.97630923
2017,52,31.51840168
2018,1,22.45948946
2018,2,13.1793842
2018,3,25.6
2018,4,14.41432225
2018,5,13.88135593
2018,6,19.9394314
2018,7,29.28762136
2018,8,25.26412776
2018,9,35.54767726
2018,10,17.00247831
2018,11,29.45410628
2018,12,22.86503067
2018,13,32.13720643
2018,14,26.93170732
2018,15,18.31873479
2018,16,30.03846154
2018,17,28.79661017
2018,18,22.2599278
2018,19,17.7905824
2018,20,14.09436275
2018,21,18.74939467
2018,22,16.50480769
2018,23,18.08610086
2018,24,15.82338308
2018,25,8.325268817
2018,26,11.9121447
2018,27,8.763328999
2018,28,17.30024814
2018,29,25.02979738
2018,30,14.98395062
2018,31,13.16113161
2018,32,22.95399188
2018,33,11.39473684
2018,34,10.34578147
2018,35,11.27195467
2018,36,16.18666667
2018,37,21.92891566
2018,38,23.18104496
2018,39,12.40773067
2018,40,20.93467337
2018,41,14.92525773
2018,42,15.06699752
2018,43,20.79512195
2018,44,12.84810127
2018,45,36.53373494
2018,46,20.32138858
2018,47,18.17760618
2018,48,23.00367197
2018,49,14.26222826
2018,50,11.71764706
2018,51,28.03936039
2018,52,8.105341246
2019,1,14.19244392
2019,2,16.8117207
2019,3,24.21313507
2019,4,22.18082524
2019,5,26.67956469
2019,6,23.44733581
2019,7,17.33913043
2019,8,20.88535032
2019,9,29.45197044
2019,10,14.47526042
2019,11,26.98170732
2019,12,26.75512666
2019,13,21.68620269
2019,14,24.24297924
2019,15,21.32192649
2019,16,18.77075589
2019,17,18.03097893
2019,18,17.91811414
2019,19,16.49373434
2019,20,16.374541
2019,21,21.7866005
2019,22,13.64427861
2019,23,10.68841545
2019,24,12.01857143
2019,25,11.38692098
2019,26,10.40690691
2019,27,8.972463768
2019,28,10.71049137
2019,29,15.65064935
2019,30,9.971910112
2019,31,15.87275064
2019,32,14.58526603
2019,33,8.975796178
2019,34,16.32401525
2019,35,19.41809291
2019,36,15.08930818
2019,37,21.9843562
2019,38,12.78208232
2019,39,15.80792317
2019,40,34.84375
2019,41,29.17865707
2019,42,12.86570743
2019,43,19.58992806
2019,44,19.92509363
2019,45,15.32533013
2019,46,30.60240964
2019,47,13.61239368
2019,48,13.69008783
2019,49,10.70422535
2019,50,23.21142163
2019,51,18.25634825
2019,52,17.65962733
2020,1,30.20383275
2020,2,26.33535844
2020,3,18.96009674
2020,4,26.66456494
2020,5,18.38713745
2020,6,12.87697929
2020,7,27.38713745
2020,8,20.86298077
2020,9,29.45323741
2020,10,16.79036145
2020,11,20.50789793
2020,12,31.18203883
2020,13,21.54070474
2020,14,16.62860577
2020,15,17.84633854
2020,16,26.38655462
2020,17,18.51507841
2020,18,23.22891566
2020,19,10.86198547
2020,20,16.73786408
2020,21,8.246987952
2020,22,9.345454545
2020,23,6.426347305
2020,24,7.436298077
2020,25,7.948192771
2020,26,6.700598802
2020,27,6.882352941
2020,28,6.098321343
2020,29,7.080239521
2020,30,6.170673077
2020,31,10.17590361
2020,32,7.032697548
2020,33,7.441734417
2020,34,16.48178138
2020,35,9.273775216
2020,36,17.49365482
2020,37,19.27644231
2020,38,14.92659446
2020,39,12.40456182
2020,40,15.81197605
2020,41,9.925570228
2020,42,13.54086538
2020,43,12.26858513
2020,44,17.60551559
2020,45,16.9041769
2020,46,11.01444043
2020,47,21.03333333
2020,48,14.10744811
2020,49,7.440145103
2020,50,14.5988024
2020,51,9.29588015
2020,52,14.98190591
2020,53,19.44042553
2021,1,10.50931677
2021,2,25.40218712
2021,3,27.23564593
2021,4,30.39495798
2021,5,42.058753
2021,6,20.56354916
2021,7,26.80505415
2021,8,28.91476591
2021,9,22.9257485
2021,10,27.51558753
2021,11,31.54861945
2021,12,23.68718593
2021,13,24.69461078
2021,14,16.58322904
2021,15,21.79111645
2021,16,23.84052758
2021,17,18.63385354
2021,18,18.13253012
2021,19,10.92760736
2021,20,12.062954
2021,21,8.656969697
2021,22,6.32345679
2021,23,7.652336449
2021,24,7.320163488
2021,25,6.292917167
2021,26,8.138888889
2021,27,8.310691824
2021,28,10.41212121
2021,29,10.11096606
2021,30,11.46958175
2021,31,7.503694581
2021,32,6.149659864
2021,33,9.47509113
2021,34,12.70089859
2021,35,14.91959799
2021,36,14.58083832
2021,37,16.09603842
2021,38,14.83113772
2021,39,24.83393502
2021,40,32.09243697
2021,41,12.04916067
2021,42,9.322155689
2021,43,10.85149701
2021,44,21.57743097
2021,45,12.5373494
2021,46,17.19782871
2021,47,13.57022809
2021,48,16.01680672
2021,49,15.56834532
2021,50,18.23261391
2021,51,12.37768817
2021,52,16.53176044
2021,53,16.50139276
2022,1,16.25810324
2022,2,22.18727491
2022,3,12.84782609
2022,4,14.24234694
2022,5,11.09221557
2022,6,14.26065163
2022,7,11.41676647
2022,8,11.32689988
2022,9,29.95701357
2022,10,19.39
2022,11,29.75618375
2022,12,16.98428053
2022,13,13.0911271
2022,14,20.71103118
2022,15,15.92409639
2022,16,16.57553957
2022,17,12.68319226
2022,18,11.92934132
2022,19,9.670702179
2022,20,13.08872902
2022,21,8.404126214
2022,22,5.261131167
2022,23,5.972322503
2022,24,6.419664269
2022,25,7.206349206
2022,26,8.923353293
2022,27,6.783980583
2022,28,6.150240385
2022,29,6.968862275
2022,30,10.30528846
2022,31,7.259615385
2022,32,8.487394958
2022,33,8.097680098
2022,34,9.14251497
2022,35,9.23625
2022,36,15.21084337
2022,37,16.74189676
2022,38,14.63473054
2022,39,24.00842359
2022,40,17.89341317
2022,41,6.180940893
2022,42,8.501199041
2022,43,11.0
2022,44,6.036144578
2022,45,20.57194245
2022,46,18.35301205
2022,47,15.5631068
2022,48,8.034813926
2022,49,5.653477218
2022,50,7.878313253
2022,51,14.546875
2022,52,12.58848168
2023,1,14.91366906
2023,2,23.24463007
2023,3,15.18389423
2023,4,16.06937799
2023,5,20.24519231
2023,6,21.19759036
2023,7,19.18072289
2023,8,12.8923445
2023,9,22.12364946
2023,10,30.67391304
2023,11,19.94844125
2023,12,17.30617608
2023,13,14.36374696
2023,14,23.32533013
2023,15,25.52747253
2023,16,24.42665037
2023,17,19.86826347
2023,18,17.5383693
2023,19,18.17305315
2023,20,19.38888889
2023,21,17.97996661
2023,22,15.18682635
2023,23,10.23443223
2023,24,10.02634731
2023,25,7.426858513
2023,26,8.517618469
2023,27,8.780838323
2023,28,7.942571785
2023,29,6.149700599
2023,30,10.94484412
2023,31,9.009626955
2023,32,8.630252101
2023,33,7.977135981
2023,34,7.458811262
2023,35,12.15090543
2023,36,5.035035035
2023,37,17.20858283
2023,38,15.53707415
2023,39,16.15261044
2023,40,9.443768997
2023,41,10.25848303
2023,42,23.99600798
2023,43,22.08240535
2023,44,15.61785356
2023,45,17.65095286
2023,46,14.29388164
2023,47,19.70359281
2023,48,15.8253493
2023,49,17.82236155
2023,50,12.95204795
2023,51,10.01011122
2023,52,18.66993756
2024,1,24.82608696
2024,2,23.2106319
2024,3,20.332
2024,4,17.04863222
2024,5,22.241
2024,6,17.21258907
2024,7,21.88299156
2024,8,15.70948379
2024,9,13.41127098
2024,10,21.29518072
2024,11,25.2785114
2024,12,20.8787515
2024,13,19.70983213
2024,14,19.39135021
2024,15,21.285
2024,16,17.92207792
2024,17,13.88677355
2024,18,11.67265469
2024,19,18.22952477
2024,20,15.86349848
2024,21,15.88111888
2024,22,8.446
2024,23,10.68104313
2024,24,6.163836164
2024,25,6.987012987
2024,26,5.570680628
2024,27,6.204204204
2024,28,5.780561122
2024,29,9.15
2024,30,6.270351759
2024,31,8.492009132
2024,32,11.3559322
2024,33,6.713562753
2024,34,6.984015984
2024,35,14.58726415
2024,36,14.42532468
2024,37,12.09714889
2024,38,10.43574297
2024,39,9.143884892
2024,40,18.88235294
2024,44,10.06128134
2024,45,8.021556886
2024,46,17.56646707
2024,47,6.262019231
2024,48,15.95329341
2024,49,17.16306954
2024,50,13.29567308
2024,51,13.61944778
2024,52,12.01918465
2025,1,16.3572621
2025,2,13.90734055
2025,3,17.57553957
2025,4,23.3172497
2025,5,14.92831106
2025,6,15.05863539
2025,7,14.25607287
2025,8,15.11788212
2025,9,19.2751004
2025,10,10.23583934
2025,11,18.66733267
2025,12,18.62356621
2025,13,14.544
2025,14,13.89210789
2025,15,21.51148851
2025,16,21.16483516
2025,17,15.296
2025,18,20.1641791
2025,19,12.06632653
2025,20,11.1421371
2025,21,8.286713287
2025,22,11.15151515
2025,23,6.389623601
2025,24,7.724417427
2025,25,6.492416582
2025,26,6.399
2025,27,10.91247485
2025,28,7.685336049
2025,29,10.38762887
2025,30,8.057672503
2025,31,4.073195876
2025,32,9.510616785
2025,33,9.434782609
2025,34,8.577173913
2025,35,10.66836735
2025,36,13.4404883
2025,37,7.230846774
2025,38,14.20101523
2025,39,13.65888325
2025,40,13.82347041
2025,41,15.62600806
2025,42,15.7942359
2025,43,15.78739227
2025,44,15.78397045
2025,45,15.78225954
2025,46,15.78140408
2025,47,15.78097636
2025,48,15.78076249
2025,49,15.78065556
2025,50,15.7806021
2025,51,15.78057536
2025,52,15.780562
2025,53,15.78055531
2026,3,21.821428571428573
